title,genre,year,rating,budget,box_office
The Last Horizon,Sci-Fi,2022,8.1,180,620
Midnight Heist,Action,2021,7.9,90,310
Whispers in the Attic,Horror,2023,5.6,15,95
Love in Autumn,Romance,2020,6.2,25,110
The Silent Kingdom,Fantasy,2022,8.1,200,740
Code Red,Action,2023,8.2,150,480
The Comedy Club,Comedy,2021,6.8,20,130
Shadows of the Past,Thriller,2022,6.1,45,160
Galaxy Runners,Sci-Fi,2023,6.9,220,810
The Forgotten Village,Drama,2020,7.6,12,40
Laugh Out Loud,Comedy,2022,7.3,30,175
Nightfall Protocol,Thriller,2021,7.0,60,190
Dragon's Peak,Fantasy,2023,7.5,190,690
The Wedding Plan,Romance,2021,6.7,18,85
Haunted Hollow,Horror,2022,6.4,10,120
Breaking Point,Action,2020,6.2,130,410
Starlight Voyage,Sci-Fi,2021,7.5,170,560
A Mother's Promise,Drama,2023,7.8,22,75
